nodeA	nodeB	weight	source	evidence	version
STK11	TP53	0.97	STRING_Local	combined_score	v12.0
STK11	PTEN	0.979	STRING_Local	combined_score	v12.0
STK11	CDKN2A	0.824	STRING_Local	combined_score	v12.0
STK11	MDM2	0.725	STRING_Local	combined_score	v12.0
STK11	KRAS	0.88	STRING_Local	combined_score	v12.0
IDH2	NRAS	0.768	STRING_Local	combined_score	v12.0
IDH2	BRAF	0.731	STRING_Local	combined_score	v12.0
IDH2	EGFR	0.72	STRING_Local	combined_score	v12.0
IDH2	KRAS	0.712	STRING_Local	combined_score	v12.0
IDH2	IDH1	0.961	STRING_Local	combined_score	v12.0
IDH2	TP53	0.783	STRING_Local	combined_score	v12.0
SMARCB1	NF2	0.83	STRING_Local	combined_score	v12.0
SMARCB1	CCND1	0.716	STRING_Local	combined_score	v12.0
SMARCB1	RB1	0.802	STRING_Local	combined_score	v12.0
SMARCB1	TP53	0.976	STRING_Local	combined_score	v12.0
SMARCB1	ARID1A	0.999	STRING_Local	combined_score	v12.0
SMARCB1	BRCA1	0.709	STRING_Local	combined_score	v12.0
SMARCB1	SMARCA4	0.999	STRING_Local	combined_score	v12.0
SMARCB1	CDK4	0.753	STRING_Local	combined_score	v12.0
SMARCB1	MYC	0.906	STRING_Local	combined_score	v12.0
SMAD4	ERBB2	0.708	STRING_Local	combined_score	v12.0
SMAD4	STK11	0.847	STRING_Local	combined_score	v12.0
SMAD4	KRAS	0.917	STRING_Local	combined_score	v12.0
SMAD4	CDKN2A	0.851	STRING_Local	combined_score	v12.0
SMAD4	PTEN	0.912	STRING_Local	combined_score	v12.0
SMAD4	BRAF	0.756	STRING_Local	combined_score	v12.0
SMAD4	EGFR	0.735	STRING_Local	combined_score	v12.0
SMAD4	TP53	0.875	STRING_Local	combined_score	v12.0
SMAD4	NF1	0.873	STRING_Local	combined_score	v12.0
SMAD4	MYC	0.931	STRING_Local	combined_score	v12.0
SMAD4	HRAS	0.714	STRING_Local	combined_score	v12.0
SMAD4	PIK3CA	0.805	STRING_Local	combined_score	v12.0
SMARCA4	ALK	0.736	STRING_Local	combined_score	v12.0
SMARCA4	NF1	0.751	STRING_Local	combined_score	v12.0
SMARCA4	TP53	0.993	STRING_Local	combined_score	v12.0
SMARCA4	ARID1A	0.999	STRING_Local	combined_score	v12.0
SMARCA4	BRCA1	0.983	STRING_Local	combined_score	v12.0
SMARCA4	CDK4	0.75	STRING_Local	combined_score	v12.0
SMARCA4	MYC	0.974	STRING_Local	combined_score	v12.0
SMARCA4	ATM	0.786	STRING_Local	combined_score	v12.0
SMARCA4	CDKN2A	0.811	STRING_Local	combined_score	v12.0
SMARCA4	TERT	0.99	STRING_Local	combined_score	v12.0
SMARCA4	STK11	0.92	STRING_Local	combined_score	v12.0
SMARCA4	CCND1	0.718	STRING_Local	combined_score	v12.0
SMARCA4	SMARCB1	0.999	STRING_Local	combined_score	v12.0
SMARCA4	RB1	0.979	STRING_Local	combined_score	v12.0
SMARCA4	PTEN	0.705	STRING_Local	combined_score	v12.0
NF2	TP53	0.773	STRING_Local	combined_score	v12.0
NF2	NF1	0.97	STRING_Local	combined_score	v12.0
NF2	SMARCB1	0.83	STRING_Local	combined_score	v12.0
NF2	EGFR	0.844	STRING_Local	combined_score	v12.0
NF2	ERBB2	0.734	STRING_Local	combined_score	v12.0
RET	PIK3CA	0.891	STRING_Local	combined_score	v12.0
RET	HRAS	0.842	STRING_Local	combined_score	v12.0
RET	NF1	0.839	STRING_Local	combined_score	v12.0
RET	BRCA2	0.705	STRING_Local	combined_score	v12.0
RET	TP53	0.801	STRING_Local	combined_score	v12.0
RET	PTPN11	0.871	STRING_Local	combined_score	v12.0
RET	EGFR	0.826	STRING_Local	combined_score	v12.0
RET	NRAS	0.868	STRING_Local	combined_score	v12.0
RET	ERBB2	0.745	STRING_Local	combined_score	v12.0
RET	KRAS	0.884	STRING_Local	combined_score	v12.0
NF1	PTPN11	0.852	STRING_Local	combined_score	v12.0
NF1	EGFR	0.847	STRING_Local	combined_score	v12.0
NF1	BRAF	0.903	STRING_Local	combined_score	v12.0
NF1	NRAS	0.994	STRING_Local	combined_score	v12.0
NF1	PTEN	0.874	STRING_Local	combined_score	v12.0
NF1	CDKN2A	0.772	STRING_Local	combined_score	v12.0
NF1	RET	0.839	STRING_Local	combined_score	v12.0
NF1	ERBB2	0.771	STRING_Local	combined_score	v12.0
NF1	STK11	0.728	STRING_Local	combined_score	v12.0
NF1	KRAS	0.996	STRING_Local	combined_score	v12.0
NF1	NF2	0.97	STRING_Local	combined_score	v12.0
NF1	IDH1	0.75	STRING_Local	combined_score	v12.0
NF1	BRCA1	0.876	STRING_Local	combined_score	v12.0
NF1	PIK3CA	0.793	STRING_Local	combined_score	v12.0
NF1	SMARCA4	0.751	STRING_Local	combined_score	v12.0
NF1	HRAS	0.994	STRING_Local	combined_score	v12.0
NF1	ATM	0.732	STRING_Local	combined_score	v12.0
